anio,instancia,cargo,distrito_id,distrito,recuento_tipo,fuente,nivel,seccion_id,circuito_id,mesas,electores,votantes,agrupacion,lista,tipo_registro,votos
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA FRENTE POPULAR,,agrupacion,2002
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA COMPROMISO FEDERAL,,agrupacion,413
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA FRENTE AMPLIO PROGRESISTA,,agrupacion,3008
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,49
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA PROYECTO SUR,,agrupacion,49
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,ALIANZA UNION PARA EL DESARROLLO SOCIAL - UDESO,,agrupacion,1302
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,nulos,,nulos,180
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,blancos,,blancos,206
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,12,,70,22209,15193,recurridos,,recurridos,9
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,13,,616,209315,154469,ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES,,agrupacion,3651
2011,PASO,PRESIDENTE Y VICE,21,Santa Fe,PROVISORIO,api_dine,seccion,13,,616,209315,154469,ALIANZA PROYECTO SUR,,agrupacion,2444
